NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Bangalore_Bikasipura_D (Karnataka),Bangalore_FCILayout_I (Karnataka),S,ANY,ANY,ANY,Surface,Bangalore_S,1524,0945;2315
Bangalore_FCILayout_I (Karnataka),Bangalore_FCILayout_I (Karnataka),S,ANY,ANY,ANY,Surface,Bangalore_S,1524,0945;2315
Bangalore_Gubbalala_D (Karnataka),Bangalore_FCILayout_I (Karnataka),S,ANY,ANY,ANY,Surface,Bangalore_S,1524,0945;2315
Bangalore_RRNagar_D (Karnataka),Bangalore_FCILayout_I (Karnataka),S,ANY,ANY,ANY,Surface,Bangalore_S,1524,0945;2315
Bangalore_Talaghatapura_D (Karnataka),Bangalore_FCILayout_I (Karnataka),S,ANY,ANY,ANY,Surface,Bangalore_S,1524,0945;2315
Bangalore_Thunganagara_D (Karnataka),Bangalore_FCILayout_I (Karnataka),S,ANY,ANY,ANY,Surface,Bangalore_S,1524,0945;2315
Bangalore_Ullal_D (Karnataka),Bangalore_FCILayout_I (Karnataka),S,ANY,ANY,ANY,Surface,Bangalore_S,1524,0945;2315
Bangalore_VijayNagar_D (Karnataka),Bangalore_FCILayout_I (Karnataka),S,ANY,ANY,ANY,Surface,Bangalore_S,1524,0945;2315
Bangalore_Vinayakalo_D (Karnataka),Bangalore_FCILayout_I (Karnataka),S,ANY,ANY,ANY,Surface,Bangalore_S,1524,0945;2315
Bengaluru_Kengeri_DC (Karnataka),Bangalore_FCILayout_I (Karnataka),S,ANY,ANY,ANY,Surface,Bangalore_S,1524,0945;2315
Tavarekere_Kurubarahali_D (Karnataka),Bangalore_FCILayout_I (Karnataka),S,ANY,ANY,ANY,Surface,Bangalore_S,1524,0945;2315
Bangalore_SrigndadaKval_D (Karnataka),Bangalore_FCILayout_I (Karnataka),S,ANY,ANY,ANY,Surface,Bangalore_S,1524,0945;2315
Bangalore_BalaramaLayo_D (Karnataka),Bangalore_FCILayout_I (Karnataka),S,ANY,ANY,ANY,Surface,Bangalore_S,1524,0945;2315
Anantnag_Bijbehara_D (Jammu & Kashmir),Srinagar_Ladhoo_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Srinagar_N,1525,0445;1045;1600;2115
Anantnag_Bonpora_DPP (Jammu & Kashmir),Srinagar_Ladhoo_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Srinagar_N,1525,0445;1045;1600;2115
Anantnag_Kulgam_DPP (Jammu & Kashmir),Srinagar_Ladhoo_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Srinagar_N,1525,0445;1045;1600;2115
Anantnag_Laroo_DPP (Jammu & Kashmir),Srinagar_Ladhoo_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Srinagar_N,1525,0445;1045;1600;2115
Anantnag_QaziBagh_DPP (Jammu & Kashmir),Srinagar_Ladhoo_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Srinagar_N,1525,0445;1045;1600;2115
Anantnag_Qazigund_D (Jammu & Kashmir),Srinagar_Ladhoo_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Srinagar_N,1525,0445;1045;1600;2115
Bandipora_Onagam1_DPP (Jammu & Kashmir),Srinagar_Ladhoo_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Srinagar_N,1525,0445;1045;1600;2115
Bandipora_Sumbal_D (Jammu & Kashmir),Srinagar_Ladhoo_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Srinagar_N,1525,0445;1045;1600;2115
Baramulla_Boniyar_DPP (Jammu & Kashmir),Srinagar_Ladhoo_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Srinagar_N,1525,0445;1045;1600;2115
Baramulla_Chandilora1_DPP (Jammu & Kashmir),Srinagar_Ladhoo_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Srinagar_N,1525,0445;1045;1600;2115
